Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
12-08-2022;00:00:00;13-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-08-2022;00:00:00;13-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
13-08-2022;00:00:00;14-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
13-08-2022;00:00:00;14-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;4,006;kWh;Gevalideerd
13-08-2022;00:00:00;14-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
13-08-2022;00:00:00;14-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
14-08-2022;00:00:00;15-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
14-08-2022;00:00:00;15-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;2,573;kWh;Gevalideerd
14-08-2022;00:00:00;15-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
14-08-2022;00:00:00;15-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
15-08-2022;00:00:00;16-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;8,159;kWh;Gevalideerd
15-08-2022;00:00:00;16-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,640;kWh;Gevalideerd
15-08-2022;00:00:00;16-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
15-08-2022;00:00:00;16-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
16-08-2022;00:00:00;17-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,331;kWh;Gevalideerd
16-08-2022;00:00:00;17-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,748;kWh;Gevalideerd
16-08-2022;00:00:00;17-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
16-08-2022;00:00:00;17-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-08-2022;00:00:00;18-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;3,509;kWh;Gevalideerd
17-08-2022;00:00:00;18-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,708;kWh;Gevalideerd
17-08-2022;00:00:00;18-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-08-2022;00:00:00;18-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
18-08-2022;00:00:00;19-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,492;kWh;Gevalideerd
