Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
17-05-2024;18:15:00;17-05-2024;18:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;18:30:00;17-05-2024;18:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,027;kWh;Gevalideerd
17-05-2024;18:30:00;17-05-2024;18:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;18:45:00;17-05-2024;19:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,028;kWh;Gevalideerd
17-05-2024;18:45:00;17-05-2024;19:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;19:00:00;17-05-2024;19:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,028;kWh;Gevalideerd
17-05-2024;19:00:00;17-05-2024;19:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;19:15:00;17-05-2024;19:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,023;kWh;Gevalideerd
17-05-2024;19:15:00;17-05-2024;19:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;19:30:00;17-05-2024;19:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
17-05-2024;19:30:00;17-05-2024;19:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;19:45:00;17-05-2024;20:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
17-05-2024;19:45:00;17-05-2024;20:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;20:00:00;17-05-2024;20:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,030;kWh;Gevalideerd
17-05-2024;20:00:00;17-05-2024;20:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;20:15:00;17-05-2024;20:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,040;kWh;Gevalideerd
17-05-2024;20:15:00;17-05-2024;20:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;20:30:00;17-05-2024;20:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
17-05-2024;20:30:00;17-05-2024;20:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;20:45:00;17-05-2024;21:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,188;kWh;Gevalideerd
17-05-2024;20:45:00;17-05-2024;21:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;21:00:00;17-05-2024;21:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,150;kWh;Gevalideerd
17-05-2024;21:00:00;17-05-2024;21:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;21:15:00;17-05-2024;21:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,055;kWh;Gevalideerd
17-05-2024;21:15:00;17-05-2024;21:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;21:30:00;17-05-2024;21:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,055;kWh;Gevalideerd
17-05-2024;21:30:00;17-05-2024;21:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;21:45:00;17-05-2024;22:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,051;kWh;Gevalideerd
17-05-2024;21:45:00;17-05-2024;22:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;22:00:00;17-05-2024;22:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,076;kWh;Gevalideerd
17-05-2024;22:00:00;17-05-2024;22:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;22:15:00;17-05-2024;22:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,065;kWh;Gevalideerd
